property_id,location_id,page_url,property_type,price,price_bin,location,city,province_name,locality,latitude,longitude,baths,area,area_marla,area_sqft,purpose,bedrooms,date_added,year,month,day
4016954,8172,https://www.zameen.com/Property/dha_defence_defence_raya_2_kanal_house_for_sale_at_facing_golf_park_dha_raya-4016954-8172-1.html,House,70000000,Very High,DHA Defence,Lahore,Punjab,"DHA Defence, Lahore, Punjab",31.469155,74.470553,7,2 Kanal,40,10890.04,For Sale,6,06-18-2019,2019,6,18
4017113,8172,https://www.zameen.com/Property/dha_defence_defence_raya_1_kanal_house_for_sale_at_facing_golf_park_dha_raya-4017113-8172-1.html,House,49500000,Very High,DHA Defence,Lahore,Punjab,"DHA Defence, Lahore, Punjab",31.469155,74.470553,6,1 Kanal,20,5445.02,For Sale,5,06-25-2019,2019,6,25
4034402,377,https://www.zameen.com/Property/lahore_samanabad_house_in_samanabad_for_sale-4034402-377-1.html,House,12500000,Medium,Samanabad,Lahore,Punjab,"Samanabad, Lahore, Punjab",31.539206,74.305515,3,5.5 Marla,5.5,1497.38,For Sale,2,04/03/2019,2019,4,3
4100382,10542,https://www.zameen.com/Property/askari_10_askari_10_sector_f_17_marla_corner_brand_new_brig_house_available_for_sale-4100382-10542-1.html,House,36000000,Very High,Askari,Lahore,Punjab,"Askari, Lahore, Punjab",31.533849,74.409633,5,17 Marla,17,4628.27,For Sale,4,06-18-2019,2019,6,18
4107715,1448,https://www.zameen.com/Property/dha_defence_dha_phase_6_1_kanal_brand_new_beautiful_bungalow_for_sale-4107715-1448-1.html,House,36000000,Very High,DHA Defence,Lahore,Punjab,"DHA Defence, Lahore, Punjab",31.471571,74.445906,6,1 Kanal,20,5445.02,For Sale,5,06-25-2019,2019,6,25
4111694,1598,https://www.zameen.com/Property/dha_phase_5_dha_phase_5_block_a_1_kanal_beautiful_bungalow_house_for_sale-4111694-1598-1.html,House,51000000,Very High,DHA Defence,Lahore,Punjab,"DHA Defence, Lahore, Punjab",31.466227,74.427137,6,1 Kanal,20,5445.02,For Sale,5,06-25-2019,2019,6,25
4153988,1789,https://www.zameen.com/Property/bahria_town_sector_c_bahria_town_tulip_block_10_marla_brand_new_house_in_sector_c_bahria_town_lahore-4153988-1789-1.html,House,20000000,High,Bahria Town,Lahore,Punjab,"Bahria Town, Lahore, Punjab",31.37108,74.190316,7,10 Marla,10,2722.51,For Sale,5,11/05/2018,2018,11,5
4159826,3527,https://www.zameen.com/Property/allama_iqbal_town_allama_iqbal_town_pak_block_2_marla_house_is_available_for_sale-4159826-3527-1.html,House,6000000,Low,Allama Iqbal Town,Lahore,Punjab,"Allama Iqbal Town, Lahore, Punjab",31.518337,74.297862,2,2 Marla,2,544.5,For Sale,3,02/03/2019,2019,2,3
4170552,3527,https://www.zameen.com/Property/allama_iqbal_town_allama_iqbal_town_pak_block_2_marla_double_storey_house_for_sale-4170552-3527-1.html,House,5500000,Low,Allama Iqbal Town,Lahore,Punjab,"Allama Iqbal Town, Lahore, Punjab",31.518337,74.297862,2,2 Marla,2,544.5,For Sale,3,04/04/2019,2019,4,4
4249571,3847,https://www.zameen.com/Property/gulberg_gulberg_4_exclusive_location_house_for_sale-4249571-3847-1.html,House,65000000,Very High,Gulberg,Lahore,Punjab,"Gulberg, Lahore, Punjab",31.526751,74.337072,0,1.1 Kanal,22,5989.52,For Sale,0,04/03/2019,2019,4,3
4304977,1446,https://www.zameen.com/Property/dha_defence_dha_phase_4_house_for_sale_in_dha_phase_4-4304977-1446-1.html,House,35000000,Very High,DHA Defence,Lahore,Punjab,"DHA Defence, Lahore, Punjab",31.465422,74.385309,6,1 Kanal,20,5445.02,For Sale,5,06-26-2019,2019,6,26
